id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0001566,2001566,  1566 Icarus (1949 MA),1566,Icarus,,Y,Y,16.9,1,0.51,,107,2459000.5,59000,20200531,J2000,0.827021327,1.078168924,0.18650023,22.82211333,87.99754359,31.39334351,192.0831813,1.969837618,0.880387482,2459191.231,20201207.73,408.9108572,1.119536912,0.0342447,13.3270099,3.64E-08,2.82E-09,3.92E-08,1.26E-05,3.98E-06,6.83E-06,6.47E-06,5.15E-09,3.45E-09,8.05E-06,1.60E-06,APO,0.33228
a0001620,2001620,  1620 Geographos (1951 RA),1620,Geographos,,Y,Y,15.3,2.56,0.29,0.15,JPL 609,2459000.5,59000,20200531,J2000,0.335454802,1.245666864,0.827801933,13.33704348,337.1869752,276.9560676,235.1126416,1.663531795,0.708926492,2459176.664,20201123.16,507.8100535,1.390308155,0.0303535,11.8126716,1.13E-08,1.59E-10,1.42E-08,2.57E-06,2.63E-06,3.49E-06,3.07E-06,2.12E-10,1.36E-10,4.36E-06,9.71E-08,APO,0.40639
a0001862,2001862,  1862 Apollo (1932 HA),1862,Apollo,,Y,Y,16.25,1.5,0.25,,JPL 308,2459000.5,59000,20200531,J2000,0.55991674,1.470345437,0.647074413,6.35473161,35.62713125,285.9759581,88.54647871,2.293616461,0.552808875,2458840.324,20191222.82,651.2196463,1.782942221,0.0258141,10.0460733,1.32E-08,8.30E-10,1.96E-08,3.31E-06,2.40E-05,2.49E-05,3.45E-06,1.29E-09,4.68E-10,6.10E-06,5.51E-07,APO,0.48568
a0001981,2001981,  1981 Midas (1973 EA),1981,Midas,,Y,Y,15.2,3.4,,,JPL 195,2459000.5,59000,20200531,J2000,0.650351518,1.776503077,0.621151605,39.8295906,356.864043,267.8229779,312.7361104,2.931854549,0.416250845,2459114.047,20200921.55,864.8631098,2.367866146,0.00356774,1.388457376,2.41E-08,2.77E-09,4.32E-08,7.67E-06,1.86E-06,5.17E-06,1.60E-06,4.58E-09,9.75E-10,4.00E-06,2.03E-06,APO,0.39337
a0002101,2002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,18.8,0.6,,,JPL 39,2459000.5,59000,20200531,J2000,0.763996923,1.874841299,0.442468315,1.322475968,349.486273,43.60820335,336.1573218,3.307214283,0.383934648,2459062.601,20200801.1,937.6595782,2.567172014,0.0115889,4.510052213,6.70E-08,1.41E-09,1.26E-07,9.70E-06,0.00042998,0.00043046,1.12E-05,2.48E-09,4.32E-10,2.93E-05,1.05E-06,APO,0.7383
a0002102,2002102,  2102 Tantalus (1975 YA),2102,Tantalus,,Y,Y,16,1.649,0.245,0.045,JPL 195,2459000.5,59000,20200531,J2000,0.299148237,1.290150777,0.904204446,64.00699255,94.36249231,61.54106408,81.98646831,1.676097108,0.672579105,2458878.601,20200130.1,535.2530239,1.465442913,0.0434654,16.91542972,2.76E-08,1.05E-09,3.58E-08,1.16E-05,1.68E-06,1.01E-05,7.80E-06,1.37E-09,8.24E-10,1.16E-05,6.56E-07,APO,0.30566
a0002135,2002135,  2135 Aristaeus (1977 HA),2135,Aristaeus,,Y,Y,17.94,,,,22,2459000.5,59000,20200531,J2000,0.503013662,1.599967126,0.795161803,23.05815457,191.1800911,290.9094338,142.9273611,2.404772449,0.487009558,2458707.02,20190811.52,739.2052046,2.023833551,0.00987554,3.843263902,1.31E-06,8.29E-08,2.07E-06,5.38E-05,0.00035033,0.00016065,0.00073305,1.25E-07,3.79E-08,0.0014827,5.75E-05,APO,0.55762
a0002201,2002201,  2201 Oljato (1947 XC),2201,Oljato,,Y,Y,15.3,1.8,0.4328,0.1,211,2459000.5,59000,20200531,J2000,0.712885521,2.174083942,0.624210978,2.522429202,74.98703322,98.24724876,203.1157336,3.723956906,0.3074607,2459510.758,20211023.26,1170.881352,3.205698432,0.00312534,1.216288568,3.29E-08,9.13E-09,6.95E-08,4.12E-06,0.00010929,0.00010919,2.88E-06,1.56E-08,1.94E-09,1.23E-05,7.37E-06,APO,0.47477
a0002340,2002340,  2340 Hathor (1976 UA),2340,Hathor,,Y,Y,20.2,0.3,,,JPL 60,2453228.5,53228,20040811,J2000,0.449884166,0.843829246,0.46420383,5.854591233,211.5421371,39.92629417,42.10443295,1.223454662,1.271517126,2453195.386,20040708.89,283.1263477,0.775157694,0.00687373,2.675049504,1.01E-07,5.97E-10,8.49E-08,8.15E-06,2.66E-05,2.83E-05,1.21E-05,8.65E-10,1.35E-09,9.54E-06,3.00E-07,ATE,0.4662
a0003122,2003122,  3122 Florence (1981 ET3),3122,Florence,,Y,Y,14,4.9,0.231,,559,2459000.5,59000,20200531,J2000,0.422944591,1.768974947,1.020796562,22.14249625,336.0638556,27.84781487,50.43779607,2.517153333,0.418910793,2458880.098,20200131.6,859.3715073,2.352830958,0.0453329,17.64220469,6.54E-09,4.16E-09,1.24E-08,1.86E-06,1.24E-06,4.73E-06,1.42E-06,5.92E-09,1.48E-09,3.22E-06,3.03E-06,AMO,0.28997
